INDEX_NAME,HistoricalDate,OPEN,CLOSE,daily_change,daily_change_perc,year
Nifty 50,29-12-2023,21737.65,21731.4,-6.25,-0.028751958,2023
Nifty 50,28-12-2023,21715,21778.7,63.70000000000073,0.29334561363113393,2023
Nifty 50,27-12-2023,21497.65,21654.75,157.09999999999854,0.7307775501043069,2023
Nifty 50,26-12-2023,21365.2,21441.35,76.14999999999782,0.35642072154717863,2023
Nifty 50,22-12-2023,21295.85,21349.4,53.55000000000291,0.2514574435864401,2023
Nifty 50,21-12-2023,21033.95,21255.05,221.09999999999854,1.051157771127147,2023
Nifty 50,20-12-2023,21543.5,21150.15,-393.35,-1.825840741,2023
Nifty 50,19-12-2023,21477.65,21453.1,-24.55,-0.11430487,2023
Nifty 50,18-12-2023,21434.8,21418.65,-16.15,-0.075344766,2023
Nifty 50,15-12-2023,21287.45,21456.65,169.20000000000073,0.7948345151720884,2023
Nifty 50,14-12-2023,21110.4,21182.7,72.29999999999927,0.34248522055479413,2023
Nifty 50,13-12-2023,20929.75,20926.35,-3.4,-0.016244819,2023
Nifty 50,12-12-2023,21018.55,20906.4,-112.15,-0.533576293,2023
Nifty 50,11-12-2023,20965.3,20997.1,31.799999999999272,0.15167920325489867,2023
Nifty 50,08-12-2023,20934.1,20969.4,35.30000000000291,0.1686243975141177,2023
Nifty 50,07-12-2023,20932.4,20901.15,-31.25,-0.149290096,2023
Nifty 50,06-12-2023,20950.75,20937.7,-13.05,-0.06228894,2023
Nifty 50,05-12-2023,20808.9,20855.1,46.19999999999709,0.22202038550810993,2023
Nifty 50,04-12-2023,20601.95,20686.8,84.84999999999854,0.4118542176832705,2023
Nifty 50,01-12-2023,20194.1,20267.9,73.80000000000291,0.36545327595685334,2023
Nifty 50,30-11-2023,20108.5,20133.15,24.650000000001455,0.12258497650248132,2023
Nifty 50,29-11-2023,19976.55,20096.6,120.04999999999927,0.6009546192911153,2023
Nifty 50,28-11-2023,19844.65,19889.7,45.04999999999927,0.22701332600977728,2023
Nifty 50,24-11-2023,19809.6,19794.7,-14.9,-0.075216057,2023
Nifty 50,23-11-2023,19828.45,19802,-26.45,-0.133394189,2023
Nifty 50,22-11-2023,19784,19811.85,27.849999999998545,0.1407703194500533,2023
Nifty 50,21-11-2023,19770.9,19783.4,12.5,0.063224234,2023
Nifty 50,20-11-2023,19731.15,19694,-37.15,-0.188280967,2023
Nifty 50,17-11-2023,19674.75,19731.8,57.04999999999927,0.2899655650008222,2023
Nifty 50,16-11-2023,19674.7,19765.2,90.5,0.45998160073597055,2023
Nifty 50,15-11-2023,19651.4,19675.45,24.049999999999272,0.12238313809702754,2023
Nifty 50,13-11-2023,19486.75,19443.55,-43.2,-0.221689096,2023
Nifty 50,12-11-2023,19547.25,19525.55,-21.7,-0.111013058,2023
Nifty 50,10-11-2023,19351.85,19425.35,73.5,0.3798086487855166,2023
Nifty 50,09-11-2023,19457.4,19395.3,-62.1,-0.319158778,2023
Nifty 50,08-11-2023,19449.6,19443.5,-6.1,-0.031363113,2023
Nifty 50,07-11-2023,19404.05,19406.7,2.650000000001455,0.013656942751649555,2023
Nifty 50,06-11-2023,19345.85,19411.75,65.90000000000146,0.34064153293859645,2023
Nifty 50,03-11-2023,19241,19230.6,-10.4,-0.054051245,2023
Nifty 50,02-11-2023,19120,19133.25,13.25,0.069299163,2023
Nifty 50,01-11-2023,19064.05,18989.15,-74.9,-0.392886087,2023
Nifty 50,31-10-2023,19232.95,19079.6,-153.35,-0.797329583,2023
Nifty 50,30-10-2023,19053.4,19140.9,87.5,0.45923562198872636,2023
Nifty 50,27-10-2023,18928.75,19047.25,118.5,0.6260318298883973,2023
Nifty 50,26-10-2023,19027.25,18857.25,-170,-0.893455439,2023
Nifty 50,25-10-2023,19286.45,19122.15,-164.3,-0.851893428,2023
Nifty 50,23-10-2023,19521.6,19281.75,-239.85,-1.228639046,2023
Nifty 50,20-10-2023,19542.15,19542.65,0.5,0.002558572,2023
Nifty 50,19-10-2023,19545.2,19624.7,79.5,0.40674948324908416,2023
Nifty 50,18-10-2023,19820.45,19671.1,-149.35,-0.753514678,2023
Nifty 50,17-10-2023,19843.2,19811.5,-31.7,-0.159752459,2023
Nifty 50,16-10-2023,19737.25,19731.75,-5.5,-0.027866091,2023
Nifty 50,13-10-2023,19654.55,19751.05,96.5,0.49098045999526835,2023
Nifty 50,12-10-2023,19822.7,19794,-28.7,-0.144783506,2023
Nifty 50,11-10-2023,19767,19811.35,44.349999999998545,0.22436383872109347,2023
Nifty 50,10-10-2023,19565.6,19689.85,124.25,0.6350431369342111,2023
Nifty 50,09-10-2023,19539.45,19512.35,-27.1,-0.138693771,2023
Nifty 50,06-10-2023,19621.2,19653.5,32.29999999999927,0.16461786231218922,2023
Nifty 50,05-10-2023,19521.85,19545.75,23.900000000001455,0.122426922,2023
Nifty 50,04-10-2023,19446.3,19436.1,-10.2,-0.052452137,2023
Nifty 50,03-10-2023,19622.4,19528.75,-93.65,-0.477260682,2023
Nifty 50,29-09-2023,19581.2,19638.3,57.099999999998545,0.29160623455150114,2023
Nifty 50,28-09-2023,19761.8,19523.55,-238.25,-1.205608801,2023
Nifty 50,27-09-2023,19637.05,19716.45,79.40000000000146,0.40433771875104185,2023
Nifty 50,26-09-2023,19682.8,19664.7,-18.1,-0.091958461,2023
Nifty 50,25-09-2023,19678.2,19674.55,-3.65,-0.018548444,2023
Nifty 50,22-09-2023,19744.85,19674.25,-70.6,-0.357561592,2023
Nifty 50,21-09-2023,19840.55,19742.35,-98.2,-0.494945957,2023
Nifty 50,20-09-2023,19980.75,19901.4,-79.35,-0.39713224,2023
Nifty 50,18-09-2023,20155.95,20133.3,-22.65,-0.112373766,2023
Nifty 50,15-09-2023,20156.45,20192.35,35.89999999999782,0.17810676,2023
Nifty 50,14-09-2023,20127.95,20103.1,-24.85,-0.123460164,2023
