HistoricalDate,CLOSE
30 Dec 2011,4624.30
30 Nov 2011,4832.00
31 Oct 2011,5326.60
30 Sep 2011,4943.20
30 Aug 2011,5001.00
29 Jul 2011,5482.00
30 Jun 2011,5647.40
31 May 2011,5560.10
29 Apr 2011,5749.50
31 Mar 2011,5833.70
28 Feb 2011,5333.20
31 Jan 2011,5505.90
